Parent ID,Reject,Annotation,Class Key,Tail Key,m/z,RT,z
1,FALSE,FA(16:1),FA,(16:1),272.258,6.655826,1
2,FALSE,FA(17:1),FA,(17:1),286.2739,7.234276,1
3,FALSE,FA(18:1)_1,FA,(18:1),300.2894,7.85609,1
4,FALSE,FA(18:1)_2,FA,(18:1),300.2894,8.053144,1
5,FALSE,FA(18:2),FA,(18:2),298.2739,6.953596,1
6,FALSE,FA(18:3)_1,FA,(18:3),296.2581,6.256827,1
7,FALSE,FA(18:3)_2,FA,(18:3),296.258,6.340027,1
8,FALSE,FA(20:1),FA,(20:1),328.3208,9.163318,1
9,FALSE,FA(20:2),FA,(20:2),326.3052,8.123429,1
10,FALSE,FA(20:3)_1,FA,(20:3),324.2894,7.304339,1
11,FALSE,FA(20:3)_2,FA,(20:3),324.2895,7.405056,1
12,FALSE,FA(20:3)_3,FA,(20:3),324.2895,7.60211,1
13,FALSE,FA(20:4),FA,(20:4),322.2739,6.787196,1
14,FALSE,FA(20:5),FA,(20:5),320.2581,6.134215,1
15,FALSE,FA(22:1)_1,FA,(22:1),356.351924,6.21,1
16,FALSE,FA(22:1)_2,FA,(22:1),356.351924,6.91,1
17,FALSE,FA(22:4),FA,(22:4),350.3051,7.680932,1
18,FALSE,FA(22:5)_1,FA,(22:5),348.2894,6.93608,1
19,FALSE,FA(22:5)_2,FA,(22:5),348.2895,7.269308,1
20,FALSE,FA(22:6),FA,(22:6),346.2739,6.568246,1
21,FALSE,FA(24:6),FA,(24:6),374.3053,7.330613,1
